code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1103072,4104,5443,348,59,9954,3519,2309,1732,563,1757,8148,0.412296564,0.546815351,0.03496082,0.431885125,0.495949926,0.069096711,-0.019588561,0.050865424,-0.034135891,0.546815351,2,0.134518786,0.412296564,1
1103057,3334,4108,230,59,7731,3531,2521,1832,528,1871,8451,0.431250808,0.531367223,0.029750356,0.417820376,0.515086972,0.062477813,0.013430432,0.016280251,-0.032727458,0.531367223,2,0.100116414,0.431250808,1
1103058,2856,3276,193,38,6363,2378,1677,1355,391,1374,5820,0.448844884,0.514851485,0.030331605,0.408591065,0.520962199,0.067182131,0.040253819,-0.006110714,-0.036850526,0.514851485,2,0.066006601,0.448844884,1
1103059,3464,3723,255,70,7512,3147,2117,1723,450,1755,7469,0.46112886,0.495607029,0.033945687,0.421341545,0.51412505,0.060249029,0.039787315,-0.018518021,-0.026303342,0.495607029,2,0.034478168,0.46112886,1
1103073,3795,7863,355,56,12069,2709,2957,1890,405,1919,7990,0.314441959,0.651503853,0.029414202,0.339048811,0.606633292,0.05068836,-0.024606852,0.044870561,-0.021274159,0.651503853,2,0.337061894,0.314441959,1
1103063,3666,11389,299,57,15411,4860,6716,3329,723,3369,15668,0.237882032,0.739017585,0.019401726,0.310186367,0.64111565,0.046145009,-0.072304335,0.097901935,-0.026743283,0.739017585,2,0.501135553,0.237882032,1
1103064,1955,3024,110,42,5131,2023,1871,1269,314,1286,5494,0.381017346,0.589358799,0.021438316,0.368219876,0.571532581,0.057153258,0.012797469,0.017826218,-0.035714942,0.589358799,2,0.208341454,0.381017346,1
1103065,1517,2441,120,33,4111,1401,1525,822,294,836,4056,0.369009973,0.593772805,0.029189978,0.345414201,0.578648915,0.072485207,0.023595772,0.015123889,-0.043295229,0.593772805,2,0.224762831,0.369009973,1
1103066,1984,2790,154,56,4984,2031,1708,1087,398,1111,5248,0.398073836,0.559791332,0.030898876,0.387004573,0.532583841,0.075838415,0.011069263,0.027207491,-0.044939538,0.559791332,2,0.161717496,0.398073836,1
1103074,3403,6486,252,68,10209,3846,3533,2223,693,2276,10348,0.333333333,0.635321775,0.024684102,0.371666022,0.556242752,0.066969463,-0.038332689,0.079079023,-0.04228536,0.635321775,2,0.301988442,0.333333333,1
