dong_cd,dong_nm
2204066,대명11동
2205051,고성동
2205052,칠성동
2205055,침산1동
2205056,침산2동
2205057,침산3동
2205081,노원동
2205061,산격1동
2205062,산격2동
2205063,산격3동
2205064,산격4동
2205065,복현1동
2205066,복현2동
2205084,대현동
2205070,검단동
2205071,무태조야동
2205075,관문동
2205078,태전1동
2205074,태전2동
2205079,구암동
2205077,관음동
2205076,읍내동
2205082,동천동
2205083,국우동
2206051,범어1동
2206052,범어2동
2206053,범어3동
2206054,범어4동
2206055,만촌1동
2206056,만촌2동
2206057,만촌3동
2206058,수성1가동
2206059,수성2·3가동
2206060,수성4가동
2206061,황금1동
2206062,황금2동
2206063,중동
2206064,상동
2206065,파동
2206066,두산동
2206067,지산1동
2206068,지산2동
2206069,범물1동
2206070,범물2동
2206071,고산1동
2206072,고산2동
2206073,고산3동
2207075,성당동
2207076,두류1·2동
2207055,두류3동
2207056,본리동
2207057,감삼동
2207058,죽전동
2207059,장기동
2207072,용산1동
2207073,용산2동
2207060,이곡1동
2207074,이곡2동
2207061,신당동
2207077,월성1동
2207063,월성2동
2207078,진천동
2207065,상인1동
2207066,상인2동
2207067,상인3동
2207068,도원동
2207069,송현1동
2207070,송현2동
2207071,본동
2207079,유천동
2231011,화원읍
2231012,논공읍
2231013,다사읍
2231031,가창면
2231032,하빈면
2231036,구지면
2231014,유가읍
2231015,옥포읍
2231016,현풍읍
2301053,신포동
2301052,연안동
2301054,신흥동
2301056,도원동
2301057,율목동
2301058,동인천동
2301065,영종동
2301063,용유동
2301064,운서동
2301066,영종1동
2301067,개항동
2302051,만석동
2302052,화수1·화평동
2302053,화수2동
2302055,송현1·2동
2302057,송현3동
2302058,송림1동
2302059,송림2동
2302060,송림3·5동
2302061,송림4동
2302063,송림6동
2302064,금창동
2309075,숭의1·3동
2309052,숭의2동
2309054,숭의4동
2309076,용현1·4동
2309056,용현2동
2309057,용현3동
2309059,용현5동
2309060,학익1동
2309061,학익2동
2309062,도화1동
2309077,도화2·3동
2309065,주안1동
2309066,주안2동
2309067,주안3동
2309068,주안4동
2309069,주안5동
2309070,주안6동
2309071,주안7동
2309072,주안8동
2309073,관교동
2309074,문학동
2304051,옥련1동
2304060,옥련2동
2304052,선학동
2304053,연수1동
2304054,연수2동
2304055,연수3동
2304056,청학동
2304057,동춘1동
2304058,동춘2동
2304059,동춘3동
2304064,송도1동
2304066,송도2동
2304065,송도3동
2304068,송도4동
2304069,송도5동
2305051,구월1동
2305052,구월2동
2305053,구월3동
2305054,구월4동
2305055,간석1동
2305056,간석2동
2305057,간석3동
2305058,간석4동
2305059,만수1동
2305060,만수2동
2305061,만수3동
2305062,만수4동
2305063,만수5동
2305064,만수6동
2305075,장수서창동
2305067,남촌도림동
2305072,논현1동
2305073,논현2동
2305074,논현고잔동
2305076,서창2동
2306051,부평1동
2306052,부평2동
2306053,부평3동
2306054,부평4동
2306055,부평5동
2306056,부평6동
2306057,산곡1동
2306058,산곡2동
2306059,산곡3동
2306060,산곡4동
2306061,청천1동
2306062,청천2동
2306063,갈산1동
2306064,갈산2동
2306065,삼산1동
2306072,삼산2동
2306066,부개1동
2306067,부개2동
2306068,부개3동
2306069,일신동
2306070,십정1동
2306071,십정2동
2307051,효성1동
2307052,효성2동
2307053,계산1동
2307054,계산2동
2307055,계산3동
2307062,계산4동
2307056,작전1동
2307057,작전2동
2307058,작전서운동
2307063,계양1동
2307061,계양2동
2307064,계양3동
2308051,검암경서동
2308053,연희동
2308074,청라1동
2308054,가정1동
2308055,가정2동
2308056,가정3동
2308073,신현원창동
2308058,석남1동
2308059,석남2동
2308060,석남3동
2308062,가좌1동
2308063,가좌2동
2308064,가좌3동
2308065,가좌4동
2308078,청라2동
2308079,청라3동
2308080,검단동
2308081,불로대곡동
2308087,원당동
2308085,당하동
2308084,오류왕길동
2308086,마전동
2308088,아라동
2331011,강화읍
2331031,선원면
2331032,불은면
2331033,길상면
2331034,화도면
2331035,양도면
2331036,내가면
2331037,하점면
2331038,양사면
2331039,송해면
2331040,교동면
2331041,삼산면
2331042,서도면
2332031,북도면
2332032,연평면
2332033,백령면
2332034,대청면
2332035,덕적면
2332036,자월면
2332037,영흥면
2401051,충장동
2401054,동명동
2401056,계림1동
2401058,계림2동
2401059,산수1동
2401061,산수2동
2401062,지산1동
2401063,지산2동
2401064,서남동
2401068,학동
2401071,학운동
2401072,지원1동
2401073,지원2동
2402051,양동
2402053,양3동
2402054,농성1동
2402055,농성2동
2402056,광천동
2402057,유덕동
2402066,치평동
2402058,상무1동
2402059,상무2동
2402060,화정1동
2402061,화정2동
2402062,화정3동
2402063,화정4동
2402064,서창동
2402068,금호1동
2402069,금호2동
2402067,풍암동
2402070,동천동
2403051,양림동
2403052,방림1동
2403053,방림2동
2403068,봉선1동
2403069,봉선2동
2403054,사직동
2403057,월산동
2403060,월산4동
2403061,월산5동
2403062,백운1동
2403063,백운2동
2403064,주월1동
2403065,주월2동
2403072,효덕동
2403067,송암동
2403070,대촌동
2403071,진월동
2404051,중흥1동
2404052,중흥2동
2404053,중흥3동
2404054,중앙동
2404055,임동
2404056,신안동
2404057,용봉동
2404058,운암1동
2404059,운암2동
2404060,운암3동
2404061,동림동
2404062,우산동
2404063,풍향동
2404064,문화동
2404065,문흥1동
2404066,문흥2동
2404067,두암1동
2404068,두암2동
2404069,두암3동
2404070,삼각동
2404078,일곡동
2404071,매곡동
2404072,오치1동
2404073,오치2동
2404074,석곡동
2404081,건국동
2404080,양산동
2404082,신용동
2405051,송정1동
2405052,송정2동
2405054,도산동
2405055,신흥동
2405056,어룡동
2405058,우산동
2405059,월곡1동
2405060,월곡2동
2405061,비아동
2405069,첨단1동
